country_name,count
"People's Republic of China",56
"United States of America",49
Japan,31
ROC,29
"Great Britain",27
Germany,26
Norway,22
Australia,20
Netherlands,18
France,17
Italy,15
Sweden,11
"New Zealand",11
Canada,11
Switzerland,10
"Republic of Korea",9
Austria,8
Cuba,8
Brazil,8
Hungary,7
"Czech Republic",6
Slovenia,5
Croatia,5
Jamaica,4
Poland,4
Belgium,4
Spain,4
Kenya,4
Denmark,4
"Islamic Republic of Iran",3
Uzbekistan,3
Ireland,3
Bulgaria,3
"Chinese Taipei",3
Serbia,3
Turkey,2
Indonesia,2
Israel,2
Kosovo,2
Georgia,2
Qatar,2
Ecuador,2
Slovakia,2
Uganda,2
Finland,2
Greece,2
Bahamas,2
Romania,2
Belarus,1
Fiji,1
Thailand,1
Estonia,1
"Hong Kong, China",1
Bermuda,1
Ukraine,1
Philippines,1
Portugal,1
India,1
Venezuela,1
"Puerto Rico",1
Morocco,1
Ethiopia,1
Tunisia,1
"South Africa",1
Egypt,1
Latvia,1
